"Walking" "Walking Upstairs" "Walking Downstairs" "Sitting" "Standing" "Laying"
0.276336875325203 0.276336875325203 0.276336875325203 0.276336875325203 0.276336875325203 0.276336875325203
-0.0179068331339779 -0.0179068331339779 -0.0179068331339779 -0.0179068331339779 -0.0179068331339779 -0.0179068331339779
-0.108881687638618 -0.108881687638618 -0.108881687638618 -0.108881687638618 -0.108881687638618 -0.108881687638618
0.93499157825784 0.93499157825784 0.93499157825784 0.93499157825784 0.93499157825784 0.93499157825784
-0.196713497359117 -0.196713497359117 -0.196713497359117 -0.196713497359117 -0.196713497359117 -0.196713497359117
-0.0538251249015482 -0.0538251249015482 -0.0538251249015482 -0.0538251249015482 -0.0538251249015482 -0.0538251249015482
0.0767187377408595 0.0767187377408595 0.0767187377408595 0.0767187377408595 0.0767187377408595 0.0767187377408595
0.0115061924659823 0.0115061924659823 0.0115061924659823 0.0115061924659823 0.0115061924659823 0.0115061924659823
-0.00231938614930952 -0.00231938614930952 -0.00231938614930952 -0.00231938614930952 -0.00231938614930952 -0.00231938614930952
-0.0347275766522822 -0.0347275766522822 -0.0347275766522822 -0.0347275766522822 -0.0347275766522822 -0.0347275766522822
-0.0694200436104837 -0.0694200436104837 -0.0694200436104837 -0.0694200436104837 -0.0694200436104837 -0.0694200436104837
0.0863626487285566 0.0863626487285566 0.0863626487285566 0.0863626487285566 0.0863626487285566 0.0863626487285566
-0.0943007119992102 -0.0943007119992102 -0.0943007119992102 -0.0943007119992102 -0.0943007119992102 -0.0943007119992102
-0.0445701108594715 -0.0445701108594715 -0.0445701108594715 -0.0445701108594715 -0.0445701108594715 -0.0445701108594715
-0.0540064674427816 -0.0540064674427816 -0.0540064674427816 -0.0540064674427816 -0.0540064674427816 -0.0540064674427816
-0.167937853979757 -0.167937853979757 -0.167937853979757 -0.167937853979757 -0.167937853979757 -0.167937853979757
-0.167937853979757 -0.167937853979757 -0.167937853979757 -0.167937853979757 -0.167937853979757 -0.167937853979757
-0.241451989838379 -0.241451989838379 -0.241451989838379 -0.241451989838379 -0.241451989838379 -0.241451989838379
-0.274866019270244 -0.274866019270244 -0.274866019270244 -0.274866019270244 -0.274866019270244 -0.274866019270244
-0.460511516745528 -0.460511516745528 -0.460511516745528 -0.460511516745528 -0.460511516745528 -0.460511516745528
-0.297890931822619 -0.297890931822619 -0.297890931822619 -0.297890931822619 -0.297890931822619 -0.297890931822619
-0.0423392245272938 -0.0423392245272938 -0.0423392245272938 -0.0423392245272938 -0.0423392245272938 -0.0423392245272938
-0.341840674953966 -0.341840674953966 -0.341840674953966 -0.341840674953966 -0.341840674953966 -0.341840674953966
-0.31112743843018 -0.31112743843018 -0.31112743843018 -0.31112743843018 -0.31112743843018 -0.31112743843018
-0.170395065771795 -0.170395065771795 -0.170395065771795 -0.170395065771795 -0.170395065771795 -0.170395065771795
-0.451010514389593 -0.451010514389593 -0.451010514389593 -0.451010514389593 -0.451010514389593 -0.451010514389593
-0.348237370890012 -0.348237370890012 -0.348237370890012 -0.348237370890012 -0.348237370890012 -0.348237370890012
-0.388384886139303 -0.388384886139303 -0.388384886139303 -0.388384886139303 -0.388384886139303 -0.388384886139303
-0.310406242610407 -0.310406242610407 -0.310406242610407 -0.310406242610407 -0.310406242610407 -0.310406242610407
-0.275558097404657 -0.275558097404657 -0.275558097404657 -0.275558097404657 -0.275558097404657 -0.275558097404657
-0.214653971925401 -0.214653971925401 -0.214653971925401 -0.214653971925401 -0.214653971925401 -0.214653971925401
-0.409173038476359 -0.409173038476359 -0.409173038476359 -0.409173038476359 -0.409173038476359 -0.409173038476359
-0.515516844208937 -0.515516844208937 -0.515516844208937 -0.515516844208937 -0.515516844208937 -0.515516844208937
-0.314644454310285 -0.314644454310285 -0.314644454310285 -0.314644454310285 -0.314644454310285 -0.314644454310285
-0.0235829464260859 -0.0235829464260859 -0.0235829464260859 -0.0235829464260859 -0.0235829464260859 -0.0235829464260859
-0.2739207990668 -0.2739207990668 -0.2739207990668 -0.2739207990668 -0.2739207990668 -0.2739207990668
-0.977612074494773 -0.977612074494773 -0.977612074494773 -0.977612074494773 -0.977612074494773 -0.977612074494773
-0.966903875917538 -0.966903875917538 -0.966903875917538 -0.966903875917538 -0.966903875917538 -0.966903875917538
-0.954597565156794 -0.954597565156794 -0.954597565156794 -0.954597565156794 -0.954597565156794 -0.954597565156794
-0.267288163330981 -0.267288163330981 -0.267288163330981 -0.267288163330981 -0.267288163330981 -0.267288163330981
-0.103141139217389 -0.103141139217389 -0.103141139217389 -0.103141139217389 -0.103141139217389 -0.103141139217389
-0.479147120981986 -0.479147120981986 -0.479147120981986 -0.479147120981986 -0.479147120981986 -0.479147120981986
-0.469914839340418 -0.469914839340418 -0.469914839340418 -0.469914839340418 -0.469914839340418 -0.469914839340418
-0.347921806314175 -0.347921806314175 -0.347921806314175 -0.347921806314175 -0.347921806314175 -0.347921806314175
-0.338448612532172 -0.338448612532172 -0.338448612532172 -0.338448612532172 -0.338448612532172 -0.338448612532172
-0.37622140274036 -0.37622140274036 -0.37622140274036 -0.37622140274036 -0.37622140274036 -0.37622140274036
-0.512619067859872 -0.512619067859872 -0.512619067859872 -0.512619067859872 -0.512619067859872 -0.512619067859872
-0.447427245411672 -0.447427245411672 -0.447427245411672 -0.447427245411672 -0.447427245411672 -0.447427245411672
-0.33775398556687 -0.33775398556687 -0.33775398556687 -0.33775398556687 -0.33775398556687 -0.33775398556687
-0.33775398556687 -0.33775398556687 -0.33775398556687 -0.33775398556687 -0.33775398556687 -0.33775398556687
-0.214555894362491 -0.214555894362491 -0.214555894362491 -0.214555894362491 -0.214555894362491 -0.214555894362491
-0.382629015979094 -0.382629015979094 -0.382629015979094 -0.382629015979094 -0.382629015979094 -0.382629015979094
-0.498841024689745 -0.498841024689745 -0.498841024689745 -0.498841024689745 -0.498841024689745 -0.498841024689745
-0.322835798362427 -0.322835798362427 -0.322835798362427 -0.322835798362427 -0.322835798362427 -0.322835798362427
-0.0772063416317422 -0.0772063416317422 -0.0772063416317422 -0.0772063416317422 -0.0772063416317422 -0.0772063416317422
-0.296078309260848 -0.296078309260848 -0.296078309260848 -0.296078309260848 -0.296078309260848 -0.296078309260848
-0.287897688500499 -0.287897688500499 -0.287897688500499 -0.287897688500499 -0.287897688500499 -0.287897688500499
-0.0908699078702335 -0.0908699078702335 -0.0908699078702335 -0.0908699078702335 -0.0908699078702335 -0.0908699078702335
-0.506329080412654 -0.506329080412654 -0.506329080412654 -0.506329080412654 -0.506329080412654 -0.506329080412654
-0.510431986710081 -0.510431986710081 -0.510431986710081 -0.510431986710081 -0.510431986710081 -0.510431986710081
-0.331961524686347 -0.331961524686347 -0.331961524686347 -0.331961524686347 -0.331961524686347 -0.331961524686347
-0.410569112536585 -0.410569112536585 -0.410569112536585 -0.410569112536585 -0.410569112536585 -0.410569112536585
-0.480002278144599 -0.480002278144599 -0.480002278144599 -0.480002278144599 -0.480002278144599 -0.480002278144599
-0.221617770280105 -0.221617770280105 -0.221617770280105 -0.221617770280105 -0.221617770280105 -0.221617770280105
-0.47383309359518 -0.47383309359518 -0.47383309359518 -0.47383309359518 -0.47383309359518 -0.47383309359518
-0.514404823691173 -0.514404823691173 -0.514404823691173 -0.514404823691173 -0.514404823691173 -0.514404823691173
